Hour,Load,System Inflow,Generation,Cost,Emissions,Infeasible
1,7761.357205116245,2430.76,5330.597205116882,82586.76165811188,1337178.1166890645,
2,7237.056519255575,2430.76,4806.2965192559,65017.46074295204,832667.853560979,
3,6978.224010941669,2430.76,4547.46401094169,56794.18033208279,694136.6291820377,
4,6842.058214912915,2430.76,4411.298214912931,52536.09982788924,637953.3275668554,
5,6750.44250085548,2430.76,4319.682500855484,49676.673681042914,600224.5900532298,
6,6740.509701122359,2430.76,4309.7497011223595,49401.46528098766,596593.3490440219,
7,6855.515890424177,2430.76,4424.755890424183,52956.93874190052,643506.0923898822,
8,7082.262194701808,2430.76,4651.502194701825,60047.58885963382,737063.77262162,
9,7363.23775526078,2430.76,4932.477755260727,69245.79033511208,954086.2119484604,
10,7530.573598185238,2430.76,5099.813598185046,74853.2096223891,1115105.7421936134,
11,7670.140045295107,2430.76,5239.380045295227,79530.07725400722,1249404.0691922752,
12,7857.998843374234,2430.76,5427.2388433742935,85920.5901353217,1418710.6926199084,
13,8095.159318085965,2430.76,5664.3993180860525,94174.62307921243,1610050.1144797518,
14,8337.863319902526,2430.76,5907.103319902602,102621.59059790496,1805862.0154598395,
15,8608.740447799013,2430.76,6177.9804477987855,113368.41543803368,2051690.2930005263,
16,8856.672238948795,2430.76,6425.912238948742,126105.02549082896,2338888.362818459,
17,,,,,,1
18,,,,,,1
19,,,,,,1
20,,,,,,1
21,,,,,,1
22,,,,,,1
23,,,,,,1
24,8432.351730078713,2430.76,6001.591730078867,105910.12529728352,1882094.6077480551,
